INSTNM,STABBR,LATITUDE,LONGITUDE,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,COUNT_WNE_3YR,COUNT_NWNE_3YR,EMPLOYMENT RATE,Rank_Tuition,Rank_Grad_Rate,Rank_Employment_Rate,Tuition_Avg
Ouachita Baptist University,AR,34.126093,-93.052471,32.0,26790.0,26790.0,0.6419,238.0,7.0,0.9714285714285714,0.6439199589533093,0.2937754508435137,0.15554231227651966,26790.0
University of the Ozarks,AR,35.476278,-93.467221,33.0,24230.0,24230.0,0.4968,90.0,7.0,0.9278350515463918,0.6044125192406362,0.5421756835369401,0.7318235995232419,24230.0
Philander Smith College,AR,34.737131,-92.283015,12.0,13014.0,13014.0,0.4136,102.0,5.0,0.9532710280373832,0.2765520779887122,0.6881908086096568,0.43921334922526817,13014.0
Williams Baptist University,AR,36.125676,-90.94027700000001,42.0,17320.0,17320.0,0.3806,80.0,2.0,0.975609756097561,0.4474089276552078,0.7329842931937173,0.10131108462455304,17320.0
Southern Arkansas University Main Campus,AR,33.291618,-93.235922,33.0,8756.0,12866.0,0.4051,542.0,25.0,0.9559082892416225,0.17855310415597742,0.6969168121000582,0.40107270560190705,10811.0
University of Arkansas-Fort Smith,AR,35.384184000000005,-94.373729,13.0,5593.0,12666.0,0.3154,1105.0,72.0,0.9388275276125744,0.129297075423294,0.8225712623618383,0.634088200238379,9129.5
Academy of Art University,CA,37.787943,-122.400578,11.0,22308.0,22308.0,0.3989,1285.0,177.0,0.8789329685362517,0.5684966649563878,0.7050610820244329,0.9088200238379023,22308.0
Antelope Valley College,CA,34.676207,-118.18616599999999,21.0,1124.0,6500.0,0.2647,363.0,67.0,0.8441860465116279,0.007696254489481785,0.8830715532286213,0.9410011918951132,3812.0
Art Center College of Design,CA,34.169031,-118.185102,12.0,43416.0,43416.0,0.7161,424.0,46.0,0.902127659574468,0.8902001026167266,0.1908086096567772,0.8545887961859356,43416.0
Azusa Pacific University,CA,34.130047,-117.888375,21.0,38880.0,38880.0,0.6263,891.0,48.0,0.9488817891373802,0.8419702411493073,0.3251890634089587,0.5077473182359953,38880.0
Bakersfield College,CA,35.40911,-118.973753,11.0,1325.0,7261.0,0.1806,84.0,6.0,0.9333333333333333,0.019497178040020522,0.9534613147178592,0.6847437425506555,4293.0
Bethesda University,CA,33.842295,-117.941323,11.0,8095.0,8095.0,0.1754,,,,0.10723447922011288,0.9557882489819662,,8095.0
Biola University,CA,33.906203000000005,-118.014374,21.0,40488.0,40488.0,0.7298,935.0,49.0,0.9502032520325203,0.8604412519240636,0.17277486910994763,0.4833134684147795,40488.0
